scenario,method,terminal_scale,deaths_mean,deaths_std
baseline,OC-Guided,-,25.5,3.7
baseline,Group RL cold,0.0,25.9,6.3
baseline,Group RL warm,0.0,26.9,3.9
baseline,Node RL,0.0,31.5,7.0
baseline,Group RL cold,1.0,26.8,4.0
baseline,Group RL warm,1.0,28.6,3.4
baseline,Node RL,1.0,25.9,3.7
moderate,OC-Guided,-,35.3,6.8
moderate,Group RL cold,0.0,39.6,3.4
moderate,Group RL warm,0.0,43.5,4.4
moderate,Node RL,0.0,41.1,5.3
moderate,Group RL cold,1.0,36.9,5.8
moderate,Group RL warm,1.0,40.5,6.4
moderate,Node RL,1.0,38.7,6.7
